run_id,timestamp,final_reward,final_saved,final_killed,total_decisions
1,2025-07-30T13:15:22.724830,9,10,1,38
2,2025-07-30T13:18:02.951975,3,10,7,38
3,2025-07-30T13:22:05.463589,5,10,5,38
4,2025-07-30T13:23:13.595719,7,10,3,38
5,2025-07-30T13:24:29.570206,8,10,2,38
6,2025-07-30T13:25:59.991594,8,10,2,38
7,2025-07-30T13:27:33.397087,8,10,2,38
8,2025-07-30T13:29:10.872166,10,10,0,38
9,2025-07-30T13:30:50.017237,6,10,4,38
10,2025-07-30T13:32:25.292592,8,10,2,38
11,2025-07-30T13:37:15.027171,8,10,2,38
12,2025-07-30T13:38:24.031443,7,10,3,38
13,2025-07-30T13:39:51.418183,7,10,3,38
14,2025-07-30T13:41:28.654568,7,10,3,38
15,2025-07-30T13:42:59.971058,7,10,3,38
16,2025-07-30T13:44:31.812918,8,10,2,38
17,2025-07-30T13:46:03.180427,5,10,5,38
18,2025-07-30T13:47:35.320392,7,10,3,38
19,2025-07-30T13:49:08.786183,8,10,2,38
20,2025-07-30T13:50:43.635940,8,10,2,38
21,2025-07-30T13:52:15.771488,7,10,3,38
22,2025-07-30T13:53:47.327444,7,10,3,38
23,2025-07-30T13:55:19.925317,6,10,4,38
24,2025-07-30T13:56:52.482203,7,10,3,38
25,2025-07-30T13:58:25.658639,8,10,2,38
26,2025-07-30T13:59:58.095586,4,10,6,38
27,2025-07-30T14:01:30.551714,7,10,3,38
28,2025-07-30T14:03:04.069925,5,10,5,38
29,2025-07-30T14:04:38.115222,9,10,1,38
30,2025-07-30T14:06:13.438542,10,10,0,38
